,subCat0_ggh,subCat1_ggh,subCat2_ggh,subCat3_ggh,subCat4_ggh,subCat0_vbf,subCat1_vbf,subCat2_vbf,subCat3_vbf,subCat4_vbf
BBEC1_2017_up,0.9999542195860542,1.0000071854855364,1.000017374739224,1.0003453481873328,0.999170923666072,1.0003776874262902,0.9998668739542764,0.9999570349538502,1.0001049032924112,0.9999359899345508
EC2_2016_up,0.9998525675130916,0.9997467923090508,1.00014595516461,1.0008783464779436,1.0006417498078313,0.9998244255907782,0.9995928114612268,0.9999432088963182,1.0002759867580484,1.0003013067378974
HF_2018_up,0.9998467849594196,0.9997221732828376,1.000137028703615,1.001085606270688,1.0006282297768068,0.9995329783041804,0.9992339710326448,0.9998263319384164,1.000546287404643,1.0007919252125972
RelativeSample_2018_up,0.9998648528412316,1.0012302246125389,1.0002430935528277,0.9934369441964416,0.9986195731543036,0.9979164961487196,1.0019219408183275,1.0009946524007376,0.997145651455588,1.0001671539629358
EC2_2018_up,0.9998459642321196,0.9997279676592604,1.0000784406565275,1.0015958880878049,1.0000488671161565,1.000202732113633,0.9993470320609986,0.9997943166454314,1.000701292949963,1.0001993766327295
EC2_up,0.9993920254955038,0.9987012686524224,1.0007592786212718,1.0041770557062215,1.0020724167291526,0.9982677207597302,0.997974264955572,0.999768576061166,1.0018768802731115,1.001013244828628
BBEC1_up,1.000299111874379,1.0006629166663947,0.9991562968118984,1.0010929191059497,0.9974283378549398,1.0012690733453928,0.9998906284196992,0.9998237660985108,1.0002841289820514,0.9996004783779594
HF_2017_up,0.9999016049109108,0.9997754603222055,1.0000877635537868,1.000807067769843,1.0007770808834442,0.9996975604945972,0.9993452943399836,0.9999569822532708,1.0002662558818851,1.0006164943122815
RelativeSample_2016_up,1.0003957241621624,1.0005703093532696,0.9994657661783358,0.9988422731814288,0.9988370293662602,1.0014427388343683,1.0008181245003678,0.9997747396003194,0.99951546365239,0.9997649439340192
BBEC1_2016_up,1.000005137915526,0.9999656283753208,0.9999790329418048,1.0003401862760013,0.9997981974057972,1.0001279430527197,0.999909936981641,0.999913297429292,1.0001657634717784,1.000048594756267
Absolute_2018_up,1.0001881942211488,1.0004523106540328,0.99933089018445,1.0012225769050929,0.9986725123479188,1.002484540341615,0.9997350525927436,0.9992463407997022,1.00059182220854,1.0004368132961965
Absolute_2016_up,1.000048803595739,0.999920097895781,0.9998689344605464,1.0009481570678078,1.000004438001398,1.0007410488330926,0.9996075705498588,0.9996832464980322,1.000383807437138,1.0004471527374763
EC2_2017_up,0.9996717545542476,0.9992866104749027,1.0004048285597291,1.00226834277905,1.001354338225207,1.00003060383588,0.9992575318793512,0.9996411123531664,1.0012197543857777,1.0000639365753186
BBEC1_2018_up,0.9999530055317616,0.9999919252434272,1.0000027899273922,1.000323188248322,0.9997420533463688,1.000346593526181,0.9999462576454898,0.99981621673836,1.000212173661499,1.0001196365049192
FlavorQCD_up,1.001006810522154,1.0007860883693789,0.997340497031976,1.0076286996456618,0.998228505306779,1.0060816158763266,0.9962174892440552,0.9973079866667494,1.0036974705821768,1.0037590883270129
RelativeSample_2017_up,1.0006018867564943,1.0010908555794662,0.9994321434749244,0.9958609670543748,0.9976828340850687,1.001533070505753,1.0023080676044387,1.000122532284525,0.9980577149358124,0.9991872335213172
Absolute_up,0.9989610256282782,0.9974265537468474,0.9996483493466832,1.01756894607338,1.0065806660834948,0.9960802702610754,0.9904248047344,0.996742302693314,1.0091270788479252,1.0087493234834684
jer1_up,1.0004422327813172,1.000318660836595,0.9994933416157196,0.99978287798882,0.998710515043292,1.0027523097450206,1.0004765324675675,0.9996518529490124,0.999815268868892,0.9994256838681445
